file,extension,encoding,lines,new_count,delete_count,com_release_count,if_count,switch_count,asset_path_literals,listed_in_vcxproj,desktop_conflict_copy
money.cpp,.cpp,utf-8-sig,18,0,0,0,1,0,0,True,False
money.h,.h,cp932,34,0,0,0,2,0,0,True,False
otomo.cpp,.cpp,cp932,253,1,1,4,10,1,5,True,False
otomo.h,.h,utf-8-sig,68,0,0,0,0,0,0,True,False
pch.cpp,.cpp,utf-8-sig,1,0,0,0,0,0,0,True,False
player.cpp,.cpp,cp932,1513,1,1,3,150,1,34,True,False
player.h,.h,utf-8-sig,207,0,0,0,0,0,0,True,False
questBordObj.cpp,.cpp,cp932,70,0,0,3,0,0,3,True,False
questBordObj.h,.h,utf-8-sig,21,0,0,0,0,0,0,True,False
questDeskUi-DESKTOP-2FSCGV3.cpp,.cpp,cp932,357,11,0,0,37,0,2,False,True
questDeskUi-DESKTOP-2FSCGV3.h,.h,utf-8-sig,83,0,0,0,0,0,0,False,True
questDeskUi.cpp,.cpp,cp932,412,11,0,0,37,0,12,True,False
questDeskUi.h,.h,utf-8-sig,90,0,0,0,0,0,0,True,False
questGateObj.cpp,.cpp,cp932,54,0,0,3,0,0,3,True,False
questGateObj.h,.h,utf-8-sig,17,0,0,0,0,0,0,True,False
recepitionPointer.cpp,.cpp,cp932,98,0,0,3,6,0,3,True,False
recepitionPointer.h,.h,utf-8-sig,17,0,0,0,0,0,0,True,False
receptionDesk.cpp,.cpp,cp932,108,1,1,3,1,0,2,True,False
receptionDesk.h,.h,utf-8-sig,55,0,0,0,0,0,0,True,False
renderer.cpp,.cpp,cp932,578,2,2,12,3,0,0,True,False
renderer.h,.h,cp932,168,0,0,0,0,0,0,True,False
result.cpp,.cpp,utf-8-sig,38,0,0,0,2,0,0,True,False
result.h,.h,utf-8-sig,13,0,0,0,0,0,0,True,False
resultLogo.cpp,.cpp,cp932,201,7,0,3,16,0,9,True,False
resultLogo.h,.h,utf-8-sig,59,0,0,0,0,0,0,True,False
scene.h,.h,cp932,118,1,1,0,3,0,0,True,False
score.cpp,.cpp,cp932,183,0,0,5,5,0,4,True,False
score.h,.h,utf-8-sig,43,0,0,0,0,0,0,True,False
score2.cpp,.cpp,cp932,175,0,0,5,3,0,3,True,False
score2.h,.h,utf-8-sig,43,0,0,0,0,0,0,True,False
score3.cpp,.cpp,cp932,176,0,0,5,3,0,4,True,False
score3.h,.h,utf-8-sig,43,0,0,0,0,0,0,True,False
sky.cpp,.cpp,cp932,59,0,0,3,0,0,3,True,False
sky.h,.h,utf-8-sig,22,0,0,0,0,0,0,True,False
specialAttack01.cpp,.cpp,cp932,134,0,0,3,4,0,3,True,False
specialAttack01.h,.h,utf-8-sig,29,0,0,0,0,0,0,True,False
specialAttack02.cpp,.cpp,cp932,132,0,0,3,4,0,3,True,False
specialAttack02.h,.h,utf-8-sig,29,0,0,0,0,0,0,True,False
specialAttack03.cpp,.cpp,cp932,131,0,0,3,4,0,3,True,False
specialAttack03.h,.h,utf-8-sig,29,0,0,0,0,0,0,True,False
sprit2D.cpp,.cpp,cp932,181,0,0,5,0,0,3,True,False
sprit2D.h,.h,utf-8-sig,28,0,0,0,0,0,0,True,False
sprite.cpp,.cpp,cp932,82,0,0,2,0,0,0,True,False
sprite.h,.h,cp932,20,0,0,0,0,0,0,True,False
spritefield.cpp,.cpp,cp932,84,0,0,2,0,0,0,True,False
spritefield.h,.h,cp932,18,0,0,0,0,0,0,True,False
title.cpp,.cpp,cp932,142,0,0,0,3,0,1,True,False
title.h,.h,utf-8-sig,19,0,0,0,0,0,0,True,False
titleCamera.cpp,.cpp,cp932,116,0,0,0,4,0,0,True,False
titleCamera.h,.h,cp932,64,0,0,0,0,0,0,True,False
titleDome.cpp,.cpp,cp932,68,1,1,3,0,0,3,True,False
titleDome.h,.h,utf-8-sig,19,0,0,0,0,0,0,True,False
titleLogo.cpp,.cpp,cp932,86,2,0,3,4,0,5,True,False
titleLogo.h,.h,utf-8-sig,30,0,0,0,0,0,0,True,False
titlePlayer.cpp,.cpp,cp932,136,1,1,3,2,0,4,True,False
titlePlayer.h,.h,utf-8-sig,37,0,0,0,0,0,0,True,False
titleWeapon.cpp,.cpp,cp932,55,0,0,3,0,0,3,True,False
titleWeapon.h,.h,utf-8-sig,19,0,0,0,0,0,0,True,False
trail.cpp,.cpp,cp932,216,0,0,5,5,0,3,True,False
trail.h,.h,utf-8-sig,44,0,0,0,0,0,0,True,False
tree.cpp,.cpp,cp932,178,0,0,5,0,0,3,True,False
tree.h,.h,utf-8-sig,28,0,0,0,0,0,0,True,False
treeObj.cpp,.cpp,cp932,74,1,1,3,0,0,3,True,False
treeObj.h,.h,utf-8-sig,23,0,0,0,0,0,0,True,False
tutorial.cpp,.cpp,cp932,162,0,0,0,2,0,0,True,False
tutorial.h,.h,utf-8-sig,27,0,0,0,0,0,0,True,False
tutorialUi.cpp,.cpp,cp932,130,7,0,0,14,0,7,True,False
tutorialUi.h,.h,utf-8-sig,41,0,0,0,0,0,0,True,False
ui01.cpp,.cpp,cp932,244,18,0,0,10,0,16,True,False
ui01.h,.h,utf-8-sig,151,0,0,0,0,0,0,True,False
village.cpp,.cpp,cp932,288,0,0,0,2,0,1,True,False
village.h,.h,cp932,39,0,0,0,0,0,0,True,False
villageInfoDesk.cpp,.cpp,cp932,79,1,1,3,1,0,2,True,False
villageInfoDesk.h,.h,utf-8-sig,34,0,0,0,0,0,0,True,False
villageObjCollition.cpp,.cpp,cp932,62,0,0,0,6,0,0,True,False
villageObjCollition.h,.h,utf-8-sig,22,0,0,0,0,0,0,True,False
villagePlayerAction.cpp,.cpp,cp932,150,0,0,0,14,0,0,True,False
villagePlayerAction.h,.h,cp932,58,0,0,0,0,0,0,True,False
villageUi-DESKTOP-2FSCGV3.cpp,.cpp,cp932,1206,65,0,0,87,0,48,False,True
villageUi.cpp,.cpp,cp932,520,22,0,0,44,0,20,True,False
villageUi.h,.h,utf-8-sig,147,0,0,0,0,0,0,True,False
villageUiManager.cpp,.cpp,utf-8-sig,6,0,0,0,0,0,0,True,False
villageUiManager.h,.h,cp932,44,0,0,0,0,0,0,True,False
weapon.cpp,.cpp,cp932,353,2,1,4,10,0,2,True,False
weapon.h,.h,cp932,102,0,0,0,0,0,4,True,False
weapon00.h,.h,cp932,79,0,0,0,0,0,2,True,False
weapon01.h,.h,cp932,81,0,0,0,0,0,2,True,False
weapon02.h,.h,cp932,81,0,0,0,0,0,2,True,False
weapon03.h,.h,cp932,82,0,0,0,0,0,2,True,False
weaponBoardObj.cpp,.cpp,cp932,60,0,0,3,0,0,3,True,False
weaponBoardObj.h,.h,utf-8-sig,20,0,0,0,0,0,0,True,False
weaponDataBase.h,.h,cp932,50,0,0,0,0,0,0,True,False
weaponDataLoad.cpp,.cpp,cp932,35,4,1,0,0,0,0,True,False
weaponDataLoad.h,.h,cp932,32,0,0,0,0,0,0,True,False
weaponStoreDesk.cpp,.cpp,cp932,86,1,1,3,1,0,2,True,False
weaponStoreDesk.h,.h,utf-8-sig,34,0,0,0,0,0,0,True,False
weaponStoreObj.cpp,.cpp,cp932,71,0,0,3,0,0,3,True,False
weaponStoreObj.h,.h,utf-8-sig,22,0,0,0,0,0,0,True,False
weaponStoreUi.cpp,.cpp,cp932,606,26,0,0,47,0,20,True,False
weaponStoreUi.h,.h,utf-8-sig,145,0,0,0,0,0,0,True,False
windmillObj.cpp,.cpp,cp932,68,0,0,3,0,0,3,True,False
windmillObj.h,.h,utf-8-sig,21,0,0,0,0,0,0,True,False
